Attendance,BehaviorRating,ClassX,ClassXII,Graduation,HealthIssues,FamilyIncome,PreviousFee,Backlogs,Gender,EducationLoan,IsDropout
68.72700594236812,7,67.99874441631567,25.779489628296623,10.125356006722212,0,122533.95099275919,39134.54394240271,7,Female,0,Yes
97.53571532049581,4,43.462089794555915,64.10101528225324,62.15974206839034,0,30781.25844687321,47812.86420810424,3,Female,1,No
86.59969709057026,2,65.62200508133611,73.50423546058298,87.82174237406173,0,186324.36702983567,26364.74430316248,2,Male,0,No
79.93292420985183,5,61.78968338775988,45.52848871616924,29.91495580988055,0,161496.53032722688,38230.91742121149,6,Male,0,No
57.80093202212183,3,45.48177890514248,13.525633637397153,39.960951111820215,0,99642.04197315038,43344.14066167739,6,Female,0,Yes
57.79972601681013,9,37.60065745192685,91.78340717771138,62.87372675780165,0,118544.50971693566,43255.35263472168,10,Male,0,Yes
52.90418060840997,6,46.63097130135902,75.76722251627456,32.21832218780261,1,25856.408544911315,11370.80554319147,2,Female,0,Yes
93.30880728874675,1,61.6520265430058,34.45001260147132,86.27381715977047,0,109630.52003144618,24228.092801287457,0,Female,1,No
80.05575058716045,3,48.5321360239985,54.71774701702659,42.99428504012995,0,96736.86942957374,10536.734366651044,2,Male,1,No
85.40362888980228,4,33.72170393812455,12.501351097037022,62.345234783789756,1,87407.34804542882,32363.19682902528,2,Male,0,No
51.029224714790125,9,78.48669859847278,40.53545036253477,30.350903283928787,0,166763.38405477596,44603.61704401664,5,Male,0,No
98.49549260809971,6,57.832074636167164,57.028171202660644,13.724770329188713,1,52746.387414145705,42596.72134153351,1,Male,0,No
91.62213204002109,4,16.090764690304,56.550125360462516,25.633023941229457,1,51735.844916121496,42449.98290825337,3,Female,0,No
60.61695553391381,1,43.14848550635129,28.736639020768703,14.15790438479229,0,113902.00869760226,24073.43991349944,4,Female,0,No
59.09124836035503,8,89.64221114907942,79.90726295655017,52.17435096518973,0,143685.88919298846,11853.186192828383,5,Male,0,No
